11111: ----- -
15241: 45245 5
15242: 13232 4
15243: 15141 3
15244: 45243 5
15245: 14545 2
15251: 15154 3
15252: 45251 5
15253: 14553 2
15254: 55234 1
15255: 45254 5
15311: 14111 2
15312: 55342 1
15313: 45312 5
15314: 45313 5
15315: 15213 3
15321: 45325 5
15322: 13312 4
15323: 13313 4
15324: 15222 3
15325: 55355 1
15331: 15234 3
15332: 55312 1
15333: 13323 4
15334: 14134 2
15335: 13325 4
15341: 15244 3
15342: 15245 3
15343: 14143 2
15344: 15242 3
15345: 13335 4
15351: 14151 2
15352: 15255 3
15353: 45352 5
15354: 14154 2
15355: 15253 3
15411: 45415 5
15412: 45411 5
15413: 13453 4
15414: 45413 5
15415: 13455 4
15421: 55451 1
15422: 13412 4
15423: 15321 3
15424: 45423 5
15425: 45424 5
15431: 45435 5
15432: 15335 3
15433: 55413 1
15434: 45433 5
15435: 13425 4
15441: 55421 1
15442: 13432 4
15443: 13433 4
15444: 45443 5
15445: 45444 5
15451: 55431 1
15452: 13442 4
15453: 13443 4
15454: 13444 4
15455: 15353 3
15511: 14311 2
15512: 45511 5
15513: 15411 3
15514: 15412 3
15515: 14315 2
15521: 15424 3
15522: 15425 3
15523: 14323 2
15524: 55554 1
15525: 13515 4
15531: 15434 3
15532: 45531 5
15533: 14333 2
15534: 45533 5
15535: 45534 5
15541: 14341 2
15542: 15445 3
15543: 13533 4
15544: 55524 1
15545: 45544 5
15551: 55531 1
15552: 13542 4
15553: 13543 4
15554: 45553 5
15555: 14355 2
21111: 24151 4
21112: 51111 5
21113: 21511 3
21114: 51113 5
21115: 11145 1
21121: 24111 4
21122: 25422 2
21123: 21521 3
21124: 51123 5
21125: 51124 5
21131: 11111 1
21132: 24122 4
21133: 25433 2
21134: 51133 5
21135: 24125 4
21141: 11121 1
21142: 51141 5
21143: 24133 4
21144: 24134 4
21145: 51144 5
21151: 24141 4
21152: 21555 3
21153: 51152 5
21154: 11134 1
21155: 51154 5
21211: 21114 3
21212: 11242 1
21213: 24253 4
21214: 24254 4
21215: 51214 5
21221: 21124 3
21222: 21125 3
21223: 21121 3
21224: 25524 2
21225: 24215 4
21231: 24221 4
21232: 25532 2
21233: 24223 4
21234: 21132 3
21235: 11215 1
21241: 24231 4
21242: 24232 4
21243: 51242 5
21244: 21142 3
21245: 51244 5
21251: 51255 5
21252: 21155 3
21253: 11233 1
21254: 24244 4
21255: 11235 1
21311: 21214 3
21312: 25112 2
21313: 24353 4
21314: 25114 2
21315: 51314 5
21321: 25121 2
21322: 11352 1
21323: 24313 4
21324: 51323 5
21325: 21223 3
21331: 24321 4
21332: 51331 5
21333: 21231 3
21334: 25134 2
21335: 51334 5
21341: 24331 4
21342: 21245 3
21343: 51342 5
21344: 25144 2
21345: 25145 2
21351: 24341 4
21352: 25152 2
21353: 21251 3
21354: 51353 5
21355: 24345 4
21411: 11441 1
21412: 51411 5
21413: 51412 5
21414: 25214 2
21415: 11445 1
21421: 24411 4
21422: 51421 5
21423: 24413 4
21424: 11454 1
21425: 24415 4
21431: 11411 1
21432: 21335 3
21433: 25233 2
21434: 11414 1
21435: 51434 5
21441: 51445 5
21442: 11422 1
21443: 24433 4
21444: 51443 5
21445: 24435 4
21451: 21354 3
21452: 51451 5
21453: 24443 4
21454: 11434 1
21455: 51454 5
21511: 25311 2
21512: 24552 4
21513: 24553 4
21514: 21412 3
21515: 21413 3
21521: 25321 2
21522: 21425 3
21523: 21421 3
21524: 25324 2
21525: 51524 5
21531: 51535 5
21532: 21435 3
21533: 51532 5
21534: 11514 1
21535: 51534 5
21541: 21444 3
21542: 11522 1
21543: 21441 3
21544: 24534 4
21545: 21443 3
21551: 25351 2
21552: 11532 1
21553: 24543 4
21554: 21452 3
21555: 51554 5
22111: 21411 2
22112: 52111 5
22113: 21413 2
22114: 25154 4
22115: 12145 1
22121: 12151 1
22122: 52121 5
22123: 52122 5
22124: 25114 4
22125: 21425 2
22131: 25121 4
22132: 25122 4
22133: 22531 3
22134: 12114 1
22135: 52134 5
22141: 25131 4
22142: 52141 5
22143: 21443 2
22144: 25134 4
22145: 12125 1
22151: 52155 5
22152: 21452 2
22153: 22551 3
22154: 25144 4
22155: 22553 3
22211: 25251 4
22212: 21512 2
22213: 25253 4
22214: 22112 3
22215: 12245 1
22221: 52225 5
22222: 25212 4
22223: 25213 4
22224: 22122 3
22225: 52224 5
22231: 25221 4
22232: 22135 3
22233: 21533 2
22234: 52233 5
22235: 21535 2
22241: 22144 3
22242: 12222 1
22243: 52242 5
22244: 25234 4
22245: 52244 5
22251: 52255 5
22252: 12232 1
22253: 22151 3
22254: 52253 5
22255: 21555 2
22311: 25351 4
22312: 21112 2
22313: 52312 5
22314: 21114 2
22315: 12345 1
22321: 25311 4
22322: 22225 3
22323: 22221 3
22324: 21124 2
22325: 12355 1
22331: 25321 4
22332: 21132 2
