11111: ----- -
55522: 53512 4
55523: 55421 3
55524: 35523 5
55525: 54325 2
55531: 53521 4
55532: 53522 4
55533: 55431 3
55534: 55432 3
55535: 54335 2
55541: 35545 5
55542: 55445 3
55543: 54343 2
55544: 35543 5
55545: 54345 2
55551: 54351 2
55552: 54352 2
55553: 45533 1
55554: 53544 4
55555: 53545 4
